"Sr.","Stock Name","Symbol","Links","% Chg","Price","Volume"
"92","Tech Mahindra Limited","TECHM","P&F | F.A","0.71%","1381.15","1,313,197"
"88","Hcl Technologies Limited","HCLTECH","P&F | F.A","0.6%","1445.85","3,117,522"
"115","SBI Cards & Payment Services Ltd","SBICARD","P&F | F.A","0.5%","730","968,431"
"146","Laurus Labs Limited","LAURUSLABS","P&F | F.A","0.49%","430.35","1,262,281"
"116","Syngene International Limited","SYNGENE","P&F | F.A","0.48%","711","1,811,140"
"167","Bandhan Bank Ltd","BANDHANBNK","P&F | F.A","0.4%","198.83","24,410,955"
"73","Bharat Forge Limited","BHARATFORG","P&F | F.A","0.39%","1703.4","3,289,884"
"86","Adani Ports And Special Economic Zone Limited","ADANIPORTS","P&F | F.A","0.24%","1448.4","4,484,742"
"181","Idfc Limited","IDFC","P&F | F.A","0.22%","121.12","10,370,154"
"131","Upl Limited","UPL","P&F | F.A","0.21%","557.3","6,124,293"
"64","United Breweries Limited","UBL","P&F | F.A","0.14%","2095.95","135,847"
"182","Gmr Infrastructure Limited","GMRINFRA","P&F | F.A","0.04%","97.88","120,276,067"
"29","L&t Technology Services Limited","LTTS","P&F | F.A","0.03%","4864.55","99,270"
"24","Trent Limited","TRENT","P&F | F.A","-0.01%","5356.8","707,909"
"138","Apollo Tyres Limited","APOLLOTYRE","P&F | F.A","-0.03%","484.65","3,228,626"
"51","Torrent Pharmaceuticals Limited","TORNTPHARM","P&F | F.A","-0.05%","2885.55","579,158"
"5","Shree Cements Limited","SHREECEM","P&F | F.A","-0.07%","27443.4","35,730"
"36","Persistent Systems Limited","PERSISTENT","P&F | F.A","-0.13%","3842.55","381,764"
"176","City Union Bank Limited","CUB","P&F | F.A","-0.16%","157.05","7,444,261"
"45","Pidilite Industries Limited","PIDILITIND","P&F | F.A","-0.17%","3117.2","309,433"
"123","Marico Limited","MARICO","P&F | F.A","-0.17%","622.45","2,262,576"
"7","NIFTY","NIFTY","P&F | F.A","-0.18%","23516","0"
"75","Bajaj Finserv Limited","BAJAJFINSV","P&F | F.A","-0.19%","1594.9","1,269,273"
"61","Srf Limited","SRF","P&F | F.A","-0.23%","2416.75","434,132"
"108","Piramal Enterprises Limited","PEL","P&F | F.A","-0.23%","898.75","1,329,044"
"83","Cholamandalam Investment And Finance Company Limited","CHOLAFIN","P&F | F.A","-0.24%","1450.65","1,474,026"
"62","Mphasis Limited","MPHASIS","P&F | F.A","-0.25%","2411.4","464,717"
